time;open;high;low;close
2016-06-01T07:00:00Z;16440;17234;16000;16790
2016-07-01T07:00:00Z;16850;17186;16030;16093
2016-08-01T07:00:00Z;16100;16374;15285;15293
2016-09-01T07:00:00Z;15251;15996;15126;15414
2016-10-03T07:00:00Z;15473;15536;14439;14545
2016-11-01T07:00:00Z;14500;15250;13945;14473
2016-12-01T07:00:00Z;14650;15350;13852;15240
2017-01-03T07:00:00Z;15332;15529;14903;15100
2017-02-01T07:00:00Z;15389;15398;14651;14823
2017-03-01T07:00:00Z;14977;15800;14600;15200
2017-04-03T07:00:00Z;15150;15336;14628;15121
2017-05-02T07:00:00Z;15100;16771;15010;16526
2017-06-01T07:00:00Z;16410;16899;15960;16427
2017-07-03T07:00:00Z;16400;18445;16200;17807
2017-08-01T07:00:00Z;17939;18699;17700;18159
2017-09-01T07:00:00Z;18040;18318;15790;16114
2017-10-02T07:00:00Z;16190;16190;14311;15360
2017-11-01T07:00:00Z;15290;15650;14130;14506
2017-12-01T07:00:00Z;14500;14986;13496;14568
2018-01-02T07:00:00Z;14540;16580;13999;16350
2018-02-01T07:00:00Z;16205;17072;15455;16275
2018-03-01T07:00:00Z;16275;16800;14025;15307
2018-04-03T07:00:00Z;15286;15757;14624;15597
2018-05-01T07:00:00Z;15477;16029;14325;14350
2018-06-01T07:00:00Z;14350;15003;11733;12279
2018-07-02T07:00:00Z;12179;14025;12121;14025
2018-08-01T07:00:00Z;13990;14113;12281;12639
2018-09-03T07:00:00Z;12640;12950;11901;12593
2018-10-01T07:00:00Z;12600;12890;11462;12440
2018-11-01T07:00:00Z;11912;13336;11805;12550
2018-12-03T07:00:00Z;12710;13297;11995;13200
2019-01-02T07:00:00Z;13000;13644;11770;12058
2019-02-01T07:00:00Z;12073;12201;11190;11612
2019-03-01T07:00:00Z;11620;11983;10940;11143
2019-04-01T07:00:00Z;11190;12153;11026;11532
2019-05-02T07:00:00Z;11600;12040;11132;11880
2019-06-03T07:00:00Z;11899;12841;11715;11967
2019-07-01T07:00:00Z;12100;12198;11285;11766
2019-08-01T07:00:00Z;11763;12092;10994;11529
2019-09-02T07:00:00Z;11465;12748;11201;11964
2019-10-01T07:00:00Z;11948;13336;11594;13185
2019-11-01T07:00:00Z;13200;13729;11932;12112
2019-12-02T07:00:00Z;12100;12150;11118;11530
2020-01-02T07:00:00Z;11530;12222;11264;11725
2020-02-03T07:00:00Z;11701;12469;10526;10967
2020-03-02T07:00:00Z;11100;12506;9070;11701
2020-04-01T07:00:00Z;11500;12699;11201;12322
2020-05-04T07:00:00Z;12184;13489;11925;12623
2020-06-01T07:00:00Z;12623;13376;12092;12295
2020-07-01T07:00:00Z;12430;13261;12009;12843
2020-08-03T07:00:00Z;12725;13935;12462;13059
